,SMA
2017-08-18,133.5745
2017-08-21,133.6020
2017-08-22,133.6842
2017-08-23,133.7355
2017-08-24,133.7903
2017-08-25,133.8511
2017-08-28,133.9317
2017-08-29,133.9791
2017-08-30,134.0790
2017-08-31,134.1822
2017-09-01,134.2824
2017-09-05,134.3476
2017-09-06,134.4336
2017-09-07,134.5742
2017-09-08,134.6533
2017-09-11,134.8098
2017-09-12,134.9719
2017-09-13,135.1653
2017-09-14,135.3170
2017-09-15,135.5016
2017-09-18,135.6549
2017-09-19,135.7958
2017-09-20,135.9209
2017-09-21,135.9980
2017-09-22,136.0665
2017-09-25,136.0853
2017-09-26,136.1097
2017-09-27,136.1407
2017-09-28,136.1548
2017-09-29,136.1850
2017-10-02,136.2188
2017-10-03,136.2460
2017-10-04,136.2829
2017-10-05,136.3379
2017-10-06,136.4140
2017-10-09,136.4891
2017-10-10,136.5778
2017-10-11,136.6686
2017-10-12,136.7469
2017-10-13,136.8466
2017-10-16,136.9510
2017-10-17,137.0419
2017-10-18,137.1340
2017-10-19,137.2193
2017-10-20,137.3706
2017-10-23,137.4833
2017-10-24,137.5662
2017-10-25,137.6366
2017-10-26,137.6933
2017-10-27,137.8868
2017-10-30,138.0887
2017-10-31,138.3048
2017-11-01,138.4793
2017-11-02,138.6579
2017-11-03,138.8721
2017-11-06,139.1019
2017-11-07,139.3250
2017-11-08,139.5493
2017-11-09,139.7265
2017-11-10,139.8742
2017-11-13,140.0293
2017-11-14,140.1986
2017-11-15,140.3459
2017-11-16,140.5237
2017-11-17,140.7141
2017-11-20,140.8709
2017-11-21,141.0527
2017-11-22,141.2344
2017-11-24,141.4431
2017-11-27,141.6410
2017-11-28,141.8500
2017-11-29,142.0027
2017-11-30,142.1883
2017-12-01,142.3782
2017-12-04,142.5371
2017-12-05,142.7267
2017-12-06,142.9223
2017-12-07,143.1034
2017-12-08,143.2983
2017-12-11,143.4962
2017-12-12,143.6877
2017-12-13,143.8789
2017-12-14,144.0655
2017-12-15,144.2585
2017-12-18,144.4727
2017-12-19,144.6722
2017-12-20,144.8665
2017-12-21,145.0528
2017-12-22,145.2408
2017-12-26,145.4019
2017-12-27,145.5536
2017-12-28,145.7054
2017-12-29,145.8422
2018-01-02,146.0413
2018-01-03,146.2620
2018-01-04,146.5063
2018-01-05,146.7765
2018-01-08,147.0692
2018-01-09,147.3711
2018-01-10,147.5846
2018-01-11,147.8128
2018-01-12,148.0530
2018-01-16,148.2852
2018-01-17,148.5565
2018-01-18,148.8007
2018-01-19,149.0449
2018-01-22,149.3212
2018-01-23,149.6121
2018-01-24,149.8975
2018-01-25,150.1820
2018-01-26,150.5118
2018-01-29,150.8365
2018-01-30,151.1482
2018-01-31,151.4363
2018-02-01,151.7082
2018-02-02,151.9189
2018-02-05,151.9747
2018-02-06,152.1065
2018-02-07,152.1876
2018-02-08,152.1417
2018-02-09,152.1386
2018-02-12,152.2397
2018-02-13,152.3320
2018-02-14,152.4935
2018-02-15,152.7460
2018-02-16,152.9826
2018-02-20,153.2124
2018-02-21,153.4234
2018-02-22,153.6212
2018-02-23,153.8602
2018-02-26,154.1454
2018-02-27,154.3850
2018-02-28,154.6062
2018-03-01,154.7420
2018-03-02,154.8815
2018-03-05,155.0737
2018-03-06,155.2827
2018-03-07,155.4986
2018-03-08,155.7357
2018-03-09,156.0515
2018-03-12,156.3843
2018-03-13,156.6686
2018-03-14,156.9707
2018-03-15,157.2182
2018-03-16,157.4268
2018-03-19,157.5609
2018-03-20,157.6749
2018-03-21,157.7631
2018-03-22,157.7727
2018-03-23,157.7081
2018-03-26,157.7343
2018-03-27,157.6366
2018-03-28,157.5131
2018-03-29,157.4107
2018-04-02,157.2199
2018-04-03,157.0525
2018-04-04,156.8985
2018-04-05,156.7354
2018-04-06,156.5168
2018-04-09,156.3202
2018-04-10,156.1408
2018-04-11,155.9595
2018-04-12,155.8414
2018-04-13,155.6941
2018-04-16,155.5975
2018-04-17,155.6309
2018-04-18,155.7941
2018-04-19,155.8486
2018-04-20,155.8934
2018-04-23,156.0586
2018-04-24,156.1084
2018-04-25,156.1092
2018-04-26,156.1579
2018-04-27,156.1518
2018-04-30,156.0665
2018-05-01,156.0303
2018-05-02,155.9695
2018-05-03,155.9173
2018-05-04,155.9238
2018-05-07,155.8924
2018-05-08,155.8154
2018-05-09,155.8129
2018-05-10,155.8640
2018-05-11,155.9638
2018-05-14,156.0405
2018-05-15,156.0465
2018-05-16,156.0602
2018-05-17,156.0541
2018-05-18,156.0138
2018-05-21,155.9288
2018-05-22,155.8221
2018-05-23,155.7873
2018-05-24,155.7523
2018-05-25,155.7232
2018-05-29,155.6896
2018-05-30,155.7482
2018-05-31,155.7942
2018-06-01,155.9048
2018-06-04,156.1234
2018-06-05,156.4338
2018-06-06,156.6517
2018-06-07,156.9435
2018-06-08,157.2703
2018-06-11,157.5512
2018-06-12,157.9375
2018-06-13,158.2903
2018-06-14,158.6298
2018-06-15,158.9402
2018-06-18,159.3251
2018-06-19,159.6796
2018-06-20,159.9918
2018-06-21,160.2922
2018-06-22,160.5486
2018-06-25,160.7457
2018-06-26,160.9327
2018-06-27,161.0086
2018-06-28,161.1059
2018-06-29,161.2410
2018-07-02,161.4476
2018-07-03,161.6240
2018-07-05,161.9059
2018-07-06,162.2355
2018-07-09,162.5316
2018-07-10,162.8284
2018-07-11,163.1298
2018-07-12,163.4542
2018-07-13,163.7997
2018-07-16,164.1374
2018-07-17,164.4375
2018-07-18,164.7050
2018-07-19,164.9587
2018-07-20,165.1772
2018-07-23,165.3735
